"zip";"individuals";"total_income";"average_income"
"32189";4340;96488;22.232258064516127
"32190";1090;23452;21.51559633027523
"32193";870;29739;34.182758620689654
"32195";3370;106552;31.61780415430267
"32202";2350;348702;148.38382978723405
"32204";6490;310332;47.81694915254237
"32205";24310;1111437;45.7193336075689
"32206";13720;270380;19.706997084548107
"32207";31250;1552080;49.66656
"32208";27540;495028;17.974872912127815
"32209";27230;385418;14.154168196841718
"32210";56360;1972185;34.99263662171753
"32211";29750;668496;22.470453781512607
"32212";1320;23218;17.58939393939394
"32216";35370;1053410;29.782584110828385
"32217";17410;891663;51.21556576680069
"32218";60760;1646045;27.090931533903884
"32219";12890;320898;24.89511249030256
"32220";11700;355525;30.386752136752136
"32221";28390;802341;28.261394857344136
"32222";15550;449294;28.893504823151126
"32223";24130;1415498;58.66133443845835
"32224";34350;2174808;63.313187772925765
"32225";52950;2272693;42.92149197355996
"32226";20730;823887;39.74370477568741
"32227";1870;32557;17.410160427807487
"32228";120;3123;26.025
"32233";21210;1374992;64.82753418198963
"32234";7240;190852;26.360773480662985
"32244";55370;1322069;23.87699115044248
"32246";50940;1713570;33.638987043580684
"32250";25930;2040261;78.68341689163131
"32254";11360;180240;15.866197183098592
"32256";48920;2424990;49.57052330335241
"32257";36020;1478358;41.04269850083287
"32258";35010;1407331;40.19797200799771
"32259";65720;3516919;53.51367924528302
"32266";6600;548115;83.04772727272727
"32277";27650;722260;26.121518987341773
"32301";20940;648670;30.977554918815663
"32303";39600;1270838;32.091868686868686
"32304";18080;332061;18.36620575221239
"32305";16150;329412;20.39702786377709
"32308";20020;1117448;55.81658341658342
"32309";29480;1560758;52.942944369063774
"32310";11860;244241;20.593676222596965
"32311";18830;826860;43.91184280403611
"32312";33370;2322106;69.58663470182799
"32317";31080;718296;23.11119691119691
"32320";2620;77270;29.49236641221374
"32321";3810;90686;23.80209973753281
"32322";2540;74475;29.320866141732285
"32324";3090;73974;23.93980582524272
"32327";24830;747954;30.122996375352397
"32328";2950;178763;60.59762711864407
"32331";3330;83269;25.005705705705704
"32332";1490;22812;15.31006711409396
"32333";9930;314795;31.701409869083584
"32334";1500;38191;25.46066666666667
"32336";1120;35460;31.660714285714285
"32340";7440;166678;22.40295698924731
"32343";3350;75021;22.394328358208956
"32344";9330;311790;33.41800643086817
"32346";1480;64968;43.8972972972973
"32347";6380;166541;26.10360501567398
"32348";8190;201961;24.65946275946276
"32350";1230;34743;28.246341463414634
"32351";13280;307821;23.1792921686747
"32352";4910;112756;22.964562118126274
"32358";1850;54837;29.64162162162162
"32359";1410;45307;32.132624113475174
"32401";16420;472499;28.775822168087696
"32403";540;13126;24.307407407407407
"32404";34760;949882;27.32686996547756
"32405";24700;817075;33.07995951417004
"32407";12710;498083;39.1882769472856
"32408";13970;681998;48.81875447387259
"32409";9860;323739;32.833569979716025
"32413";13370;752088;56.251907255048614
"32420";1910;45799;23.978534031413613
"32421";3460;80025;23.128612716763005
"32423";980;23546;24.026530612244898
"32424";4550;112496;24.724395604395603
"32425";10230;251787;24.612609970674487
"32426";720;15665;21.756944444444443
"32427";950;18174;19.130526315789474
"32428";13800;359170;26.026811594202897
"32430";1060;26417;24.921698113207547
"32431";4330;95758;22.11501154734411
"32433";13980;311418;22.27596566523605
"32435";5980;163311;27.30953177257525
"32437";540;11921;22.075925925925926
"32438";3350;62264;18.586268656716417
"32439";13380;491530;36.73617339312407
"32440";5140;128063;24.91498054474708
"32442";3010;77929;25.890033222591363
"32443";2660;55134;20.727067669172932
"32444";19340;730564;37.77476732161324
"32445";1300;21334;16.41076923076923
"32446";7830;244846;31.270242656449554
"32448";6760;153535;22.712278106508876
"32449";420;7772;18.504761904761907
"32455";3640;81547;22.40302197802198
"32456";6320;294362;46.57626582278481
"32459";21340;2307154;108.11405810684161
"32460";3280;82142;25.04329268292683
"32461";3550;881843;248.40647887323945
"32462";2970;68579;23.09057239057239
"32464";3080;71186;23.112337662337662
"32465";5110;122241;23.921917808219177
"32466";5360;129659;24.190111940298507
"32501";7550;282392;37.40291390728477
"32502";3260;311903;95.67576687116565
"32503";25850;1099908;42.54963249516441
"32504";19330;826537;42.75928608380755
"32505";22610;424177;18.76059265811588
"32506";30920;817740;26.446959896507114
"32507";26190;1249861;47.72283314242077
"32508";1520;35038;23.051315789473684
"32514";32750;1069674;32.66180152671756
"32526";40010;1236858;30.9137215696076
"32531";6350;196463;30.939055118110236
"32533";28840;1002135;34.74809292649098
"32534";14660;415452;28.339154160982265
"32535";3900;93773;24.044358974358975
"32536";28970;914479;31.566413531239213
"32539";27980;726267;25.95664760543245
"32541";17700;1516968;85.70440677966101
"32542";3370;63156;18.740652818991098
"32544";1830;35707;19.512021857923497
"32547";29680;932977;31.434535040431268
"32548";19070;702052;36.81447299423178
"32550";7620;917820;120.44881889763779
"32561";8490;1200763;141.43262661955242
"32563";26230;1184817;45.17030118185284
"32564";2840;70694;24.89225352112676
"32565";5680;177557;31.260035211267606
"32566";41770;1532804;36.696289202777116
"32567";3810;110087;28.894225721784778
